
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:62770        GS1-MAHESWAR-LX:62769  ESTABLISHED     14564
  TCP    127.0.0.1:62771        GS1-MAHESWAR-LX:62772  ESTABLISHED     14564
  TCP    127.0.0.1:62772        GS1-MAHESWAR-LX:62771  ESTABLISHED     14564
  TCP    127.0.0.1:62773        GS1-MAHESWAR-LX:62774  ESTABLISHED     14564
  TCP    127.0.0.1:62774        GS1-MAHESWAR-LX:62773  ESTABLISHED     14564
  TCP    127.0.0.1:62839        GS1-MAHESWAR-LX:62840  ESTABLISHED     14564
  TCP    127.0.0.1:62840        GS1-MAHESWAR-LX:62839  ESTABLISHED     14564
  TCP    127.0.0.1:62881        GS1-MAHESWAR-LX:0      LISTENING       17928
  TCP    127.0.0.1:62881        GS1-MAHESWAR-LX:62883  ESTABLISHED     17928
  TCP    127.0.0.1:62881        GS1-MAHESWAR-LX:62884  ESTABLISHED     17928
  TCP    127.0.0.1:62882        GS1-MAHESWAR-LX:37861  ESTABLISHED     14564
  TCP    127.0.0.1:62883        GS1-MAHESWAR-LX:62881  ESTABLISHED     14564
  TCP    127.0.0.1:62884        GS1-MAHESWAR-LX:62881  ESTABLISHED     14564
  TCP    127.0.0.1:62895        GS1-MAHESWAR-LX:62896  ESTABLISHED     14564
  TCP    127.0.0.1:62896        GS1-MAHESWAR-LX:62895  ESTABLISHED     14564
  TCP    127.0.0.1:62897        GS1-MAHESWAR-LX:62898  ESTABLISHED     14564
  TCP    127.0.0.1:62898        GS1-MAHESWAR-LX:62897  ESTABLISHED     14564
  TCP    127.0.0.1:62899        GS1-MAHESWAR-LX:62900  ESTABLISHED     14564
  TCP    127.0.0.1:62900        GS1-MAHESWAR-LX:62899  ESTABLISHED     14564
  TCP    127.0.0.1:62901        GS1-MAHESWAR-LX:62902  ESTABLISHED     14564
  TCP    127.0.0.1:62902        GS1-MAHESWAR-LX:62901  ESTABLISHED     14564
  TCP    127.0.0.1:62903        GS1-MAHESWAR-LX:62904  ESTABLISHED     14564
  TCP    127.0.0.1:62904        GS1-MAHESWAR-LX:62903  ESTABLISHED     14564
  TCP    127.0.0.1:62905        GS1-MAHESWAR-LX:62906  ESTABLISHED     14564
  TCP    127.0.0.1:62906        GS1-MAHESWAR-LX:62905  ESTABLISHED     14564
  TCP    127.0.0.1:62908        GS1-MAHESWAR-LX:62909  ESTABLISHED     14564
  TCP    127.0.0.1:62909        GS1-MAHESWAR-LX:62908  ESTABLISHED     14564
  TCP    127.0.0.1:62910        GS1-MAHESWAR-LX:62911  ESTABLISHED     14564
  TCP    127.0.0.1:62911        GS1-MAHESWAR-LX:62910  ESTABLISHED     14564
  TCP    127.0.0.1:62912        GS1-MAHESWAR-LX:62913  ESTABLISHED     14564
  TCP    127.0.0.1:62913        GS1-MAHESWAR-LX:62912  ESTABLISHED     14564
  TCP    127.0.0.1:62914        GS1-MAHESWAR-LX:62915  ESTABLISHED     14564
  TCP    127.0.0.1:62915        GS1-MAHESWAR-LX:62914  ESTABLISHED     14564
  TCP    127.0.0.1:62916        GS1-MAHESWAR-LX:62917  ESTABLISHED     14564
  TCP    127.0.0.1:62917        GS1-MAHESWAR-LX:62916  ESTABLISHED     14564
  TCP    127.0.0.1:62918        GS1-MAHESWAR-LX:62919  ESTABLISHED     14564
  TCP    127.0.0.1:62919        GS1-MAHESWAR-LX:62918  ESTABLISHED     14564
  TCP    127.0.0.1:62920        GS1-MAHESWAR-LX:62921  ESTABLISHED     14564
  TCP    127.0.0.1:62921        GS1-MAHESWAR-LX:62920  ESTABLISHED     14564
  TCP    127.0.0.1:62922        GS1-MAHESWAR-LX:62923  ESTABLISHED     14564
  TCP    127.0.0.1:62923        GS1-MAHESWAR-LX:62922  ESTABLISHED     14564
  TCP    127.0.0.1:62924        GS1-MAHESWAR-LX:62925  ESTABLISHED     14564
  TCP    127.0.0.1:62925        GS1-MAHESWAR-LX:62924  ESTABLISHED     14564
  TCP    127.0.0.1:62926        GS1-MAHESWAR-LX:62927  ESTABLISHED     14564
  TCP    127.0.0.1:62927        GS1-MAHESWAR-LX:62926  ESTABLISHED     14564
  TCP    127.0.0.1:62944        GS1-MAHESWAR-LX:62945  ESTABLISHED     14564
  TCP    127.0.0.1:62945        GS1-MAHESWAR-LX:62944  ESTABLISHED     14564
  TCP    127.0.0.1:62969        GS1-MAHESWAR-LX:62970  ESTABLISHED     14564
  TCP    127.0.0.1:62970        GS1-MAHESWAR-LX:62969  ESTABLISHED     14564
  TCP    127.0.0.1:62971        GS1-MAHESWAR-LX:62972  ESTABLISHED     14564
  TCP    127.0.0.1:62972        GS1-MAHESWAR-LX:62971  ESTABLISHED     14564
  TCP    127.0.0.1:62973        GS1-MAHESWAR-LX:62974  ESTABLISHED     14564
  TCP    127.0.0.1:62974        GS1-MAHESWAR-LX:62973  ESTABLISHED     14564
  TCP    127.0.0.1:62975        GS1-MAHESWAR-LX:62976  ESTABLISHED     14564
  TCP    127.0.0.1:62976        GS1-MAHESWAR-LX:62975  ESTABLISHED     14564
  TCP    127.0.0.1:62977        GS1-MAHESWAR-LX:62978  ESTABLISHED     14564
  TCP    127.0.0.1:62978        GS1-MAHESWAR-LX:62977  ESTABLISHED     14564
  TCP    127.0.0.1:62979        GS1-MAHESWAR-LX:62980  ESTABLISHED     14564
  TCP    127.0.0.1:62980        GS1-MAHESWAR-LX:62979  ESTABLISHED     14564
  TCP    127.0.0.1:62981        GS1-MAHESWAR-LX:62982  ESTABLISHED     14564
  TCP    127.0.0.1:62982        GS1-MAHESWAR-LX:62981  ESTABLISHED     14564
  TCP    127.0.0.1:62983        GS1-MAHESWAR-LX:62984  ESTABLISHED     14564
  TCP    127.0.0.1:62984        GS1-MAHESWAR-LX:62983  ESTABLISHED     14564
  TCP    127.0.0.1:63342        GS1-MAHESWAR-LX:0      LISTENING       14564
  TCP    127.0.0.1:63499        GS1-MAHESWAR-LX:63500  ESTABLISHED     14564
  TCP    127.0.0.1:63500        GS1-MAHESWAR-LX:63499  ESTABLISHED     4976
  TCP    127.0.0.1:63504        GS1-MAHESWAR-LX:63505  ESTABLISHED     14564
  TCP    127.0.0.1:63505        GS1-MAHESWAR-LX:63504  ESTABLISHED     14564
  TCP    127.0.0.1:63506        GS1-MAHESWAR-LX:63507  ESTABLISHED     14564
  TCP    127.0.0.1:63507        GS1-MAHESWAR-LX:63506  ESTABLISHED     14564
  TCP    127.0.0.1:63508        GS1-MAHESWAR-LX:63509  ESTABLISHED     14564
  TCP    127.0.0.1:63509        GS1-MAHESWAR-LX:63508  ESTABLISHED     14564
  TCP    127.0.0.1:63510        GS1-MAHESWAR-LX:63511  ESTABLISHED     14564
  TCP    127.0.0.1:63511        GS1-MAHESWAR-LX:63510  ESTABLISHED     14564
  TCP    127.0.0.1:63512        GS1-MAHESWAR-LX:63513  ESTABLISHED     14564
  TCP    127.0.0.1:63513        GS1-MAHESWAR-LX:63512  ESTABLISHED     14564
  TCP    127.0.0.1:64120        GS1-MAHESWAR-LX:0      LISTENING       14564
  TCP    [::]:80                GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::]:135               GS1-MAHESWAR-LX:0      LISTENING       1184
  TCP    [::]:445               GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::]:2701              GS1-MAHESWAR-LX:0      LISTENING       5128
  TCP    [::]:3389              GS1-MAHESWAR-LX:0      LISTENING       1676
  TCP    [::]:5432              GS1-MAHESWAR-LX:0      LISTENING       8116
  TCP    [::]:5985              GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::]:7680              GS1-MAHESWAR-LX:0      LISTENING       15012
  TCP    [::]:8005              GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::]:8080              GS1-MAHESWAR-LX:0      LISTENING       4976
  TCP    [::]:39000             GS1-MAHESWAR-LX:0      LISTENING       4976
  TCP    [::]:47001             GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::]:49664             GS1-MAHESWAR-LX:0      LISTENING       772
  TCP    [::]:49665             GS1-MAHESWAR-LX:0      LISTENING       960
  TCP    [::]:49666             GS1-MAHESWAR-LX:0      LISTENING       2236
  TCP    [::]:49667             GS1-MAHESWAR-LX:0      LISTENING       1968
  TCP    [::]:49668             GS1-MAHESWAR-LX:0      LISTENING       3724
  TCP    [::]:49669             GS1-MAHESWAR-LX:0      LISTENING       5040
  TCP    [::]:49670             GS1-MAHESWAR-LX:0      LISTENING       772
  TCP    [::]:49686             GS1-MAHESWAR-LX:0      LISTENING       2588
  TCP    [::]:49704             GS1-MAHESWAR-LX:0      LISTENING       88
  TCP    [::]:50131             GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    [::1]:42050            GS1-MAHESWAR-LX:0      LISTENING       16324
  TCP    [::1]:49671            GS1-MAHESWAR-LX:0      LISTENING       5544
  TCP    [fe80::321c:5347:8880:b608%11]:80  [fe80::54a6:3428:c86a:5656%11]:51779  ESTABLISHED     4
  TCP    [fe80::321c:5347:8880:b608%11]:80  [fe80::be0c:5e1d:5bbc:8374%11]:53960  ESTABLISHED     4
  UDP    0.0.0.0:123            *:*                                    1880
  UDP    0.0.0.0:500            *:*                                    5512
  UDP    0.0.0.0:3389           *:*                                    1676
  UDP    0.0.0.0:3702           *:*                                    8852
  UDP    0.0.0.0:3702           *:*                                    8852
  UDP    0.0.0.0:3702           *:*                                    6128
  UDP    0.0.0.0:3702           *:*                                    8852
  UDP    0.0.0.0:3702           *:*                                    8852
